N_boletim,data_hora_boletim,seq_veic,cod_categ,descricao_categoria,cod_especie,descricao_especie,cod_situacao,desc_situacao,tipo_socorro,desc_tipo_socorro
2022-012807075-001,25/03/2022 17:36,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012808671-001,25/03/2022 17:49,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012819186-001,23/03/2022 16:25,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012819186-001,23/03/2022 16:25,2,0,NAO INFORMADO,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012819186-001,23/03/2022 16:25,3,0,NAO INFORMADO,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012819459-001,25/03/2022 18:53,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012819459-001,25/03/2022 18:53,1,2,MISSAO DIPLOMATICA,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012820923-001,25/03/2022 20:03,1,4,ALUGUEL,8,ONIBUS,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012823130-001,25/03/2022 19:48,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012823130-001,25/03/2022 19:48,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012824295-001,25/03/2022 20:24,2,3,PARTICULAR,1,BICICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012824295-001,25/03/2022 20:24,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012825077-001,25/03/2022 20:11,1,3,PARTICULAR,6,AUTOMOVEL,2,PARADO,6,NÃO SE APLICA
2022-012825077-001,25/03/2022 20:11,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012826190-001,25/03/2022 20:47,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012831700-001,25/03/2022 21:06,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012831700-001,25/03/2022 21:06,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012836261-001,25/03/2022 21:21,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012836810-001,25/03/2022 20:13,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012836810-001,25/03/2022 20:13,2,3,PARTICULAR,4,MOTOCICLETA,2,PARADO,4,TERCEIROS
2022-012836810-001,25/03/2022 20:13,3,0,NAO INFORMADO,6,AUTOMOVEL,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012860890-001,26/03/2022 01:50,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012860890-001,26/03/2022 01:50,2,3,PARTICULAR,13,CAMINHAO,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012869666-001,26/03/2022 04:43,1,0,NAO INFORMADO,0,NAO INFORMADO,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012875635-001,26/03/2022 07:18,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012875635-001,26/03/2022 07:18,2,0,NAO INFORMADO,1,BICICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012879135-001,26/03/2022 09:01,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,3,AMBULANCIA
2022-012881896-001,26/03/2022 09:28,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012881896-001,26/03/2022 09:28,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012882167-001,26/03/2022 09:34,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012882167-001,26/03/2022 09:34,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012883161-001,26/03/2022 09:07,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,3,AMBULANCIA
2022-012886820-001,26/03/2022 09:49,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012886820-001,26/03/2022 09:49,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012889654-001,26/03/2022 10:24,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012889654-001,26/03/2022 10:24,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012889682-001,26/03/2022 10:31,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012889682-001,26/03/2022 10:31,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012890122-001,26/03/2022 11:02,3,4,ALUGUEL,8,ONIBUS,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012890122-001,26/03/2022 11:02,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012890122-001,26/03/2022 11:02,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012893220-001,26/03/2022 11:40,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012895783-001,26/03/2022 11:51,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012895783-001,26/03/2022 11:51,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012895940-001,26/03/2022 12:10,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012895940-001,26/03/2022 12:10,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012898971-001,26/03/2022 11:06,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012898971-001,26/03/2022 11:06,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-012899662-001,26/03/2022 12:38,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012906077-001,26/03/2022 14:40,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012906077-001,26/03/2022 14:40,2,3,PARTICULAR,1,BICICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
